189,189,189,189,0,0,0,0,189,Light,neutral,Grey,Light Grey,BDBDBD,grey74,
190,190,190,190,0,0,0,0,190,Light,neutral,Grey,Light Grey,BEBEBE,grey74.5,
191,191,191,191,0,0,0,0,191,Light,neutral,Grey,Light Grey,BFBFBF,grey75,
192,192,192,192,0,0,0,0,192,Light,neutral,Grey,Light Grey,C0C0C0,Grey75.5,
194,194,194,194,0,0,0,0,194,Light,neutral,Grey,Light Grey,C2C2C2,grey76,
196,196,196,196,0,0,0,0,196,Light,neutral,Grey,Light Grey,C4C4C4,grey77,
199,199,199,199,0,0,0,0,199,Light,neutral,Grey,Light Grey,C7C7C7,grey78,
201,201,201,201,0,0,0,0,201,Light,neutral,Grey,Light Grey,C9C9C9,grey79,
204,204,204,204,0,0,0,0,204,Light,neutral,Grey,Light Grey,CCCCCC,grey80,
207,207,207,207,0,0,0,0,207,Light,neutral,Grey,Light Grey,CFCFCF,grey81,
209,209,209,209,0,0,0,0,209,Light,neutral,Grey,Light Grey,D1D1D1,grey82,
211,211,211,211,0,0,0,0,211,Light,neutral,Grey,Light Grey,D3D3D3,grey82.5,
212,212,212,212,0,0,0,0,212,Light,neutral,Grey,Light Grey,D4D4D4,grey83,
214,214,214,214,0,0,0,0,214,Light,neutral,Grey,Light Grey,D6D6D6,grey84,
217,217,217,217,0,0,0,0,217,Light,neutral,Grey,Light Grey,D9D9D9,grey85,
219,219,219,219,0,0,0,0,219,Light,neutral,Grey,Light Grey,DBDBDB,grey86,
220,220,220,220,0,0,0,0,220,Light,neutral,Grey,Light Grey,DCDCDC,grey86.1,
221,221,221,221,0,0,0,0,221,Light,neutral,Grey,Light Grey,DDDDDD,grey86.2,
222,222,222,222,0,0,0,0,222,Light,neutral,Grey,Light Grey,DEDEDE,grey87,
224,224,224,224,0,0,0,0,224,Light,neutral,Grey,Light Grey,E0E0E0,grey88,
227,227,227,227,0,0,0,0,227,Light,neutral,Grey,Light Grey,E3E3E3,grey89,
229,229,229,229,0,0,0,0,229,Light,neutral,Grey,Light Grey,E5E5E5,grey90,
232,232,232,232,0,0,0,0,232,Light,neutral,Grey,Light Grey,E8E8E8,grey91,
235,235,235,235,0,0,0,0,235,Light,neutral,Grey,Light Grey,EBEBEB,grey92,
237,237,237,237,0,0,0,0,237,Light,neutral,Grey,Light Grey,EDEDED,grey93,
238,238,238,238,0,0,0,0,238,Light,neutral,Grey,Light Grey,EEEEEE,grey93.5,
240,240,240,240,0,0,0,0,240,Light,neutral,Grey,Light Grey,F0F0F0,grey94,
242,242,242,242,0,0,0,0,242,Light,neutral,Grey,Light Grey,F2F2F2,grey95,
245,245,245,245,0,0,0,0,245,Light,neutral,Grey,White,F5F5F5,grey96,
247,247,247,247,0,0,0,0,247,Light,neutral,Grey,White,F7F7F7,grey97,
250,250,250,250,0,0,0,0,250,Light,neutral,Grey,White,FAFAFA,grey98,
252,252,252,252,0,0,0,0,252,Light,neutral,Grey,White,FCFCFC,grey99,
131,139,131,133.6666666667,0.0199501247,-4,6.9282032303,-0.5235987756,135.696,Medium,neutral,Blue,honeydew,838B83,honeydew4,
193,205,193,197,0.0203045685,-6,10.3923048454,-0.5235987756,200.044,Light,neutral,Blue,honeydew,C1CDC1,honeydew3,
224,238,224,228.6666666667,0.0204081633,-7,12.124355653,-0.5235987756,232.218,Light,neutral,Blue,honeydew,E0EEE0,honeydew2,
240,255,240,245,0.0204081633,-7.5,12.9903810568,-0.5235987756,248.805,Light,neutral,Blue,honeydew,F0FFF0,honeydew,
3,180,200,127.6666666667,0.9765013055,-187,-17.3205080757,-1.6631558479,129.357,Medium,cold,Blue,Iris,03B4C8,Iris Blue,
3,180,204,129,0.976744186,-189,-20.7846096908,-1.6803276743,129.813,Medium,cold,Blue,Iris,03B4CC,True Iris Blue,
139,134,78,117,0.3333333333,33,48.4974226119,0.5974833033,129.111,Medium,warm,Green,Khaki,8B864E,khaki4,
189,183,107,159.6666666667,0.3298538622,44,65.8179306876,0.5892782511,176.13,Light,warm,Green,Khaki,BDB76B,DarkKhaki,
205,198,115,172.6666666667,0.333976834,48.5,71.8801085141,0.5935673528,190.631,Light,warm,Green,Khaki,CDC673,khaki3,
124,252,0,125.3333333333,1,-2,218.2384017537,-0.0091640334,185,Light,warm,Green,Lawn,7CFC00,LawnGreen,
50,205,50,101.6666666667,0.5081967213,-77.5,134.2339375866,-0.5235987756,140.985,Medium,neutral,Green,Lime,32CD32,LimeGreen,
0,255,0,85,1,-127.5,220.836477965,-0.5235987756,149.685,Medium,neutral,Green,Lime,00FF00,green lime,
9,249,17,91.6666666667,0.9018181818,-124,200.917893678,-0.5529471399,150.792,Medium,cold,Green,Lime,09F911,Free Speech Green,
0,0,156,52,1,-78,-135.0999629904,-2.617993878,17.784,Dark,cold,Blue,Midnight,00009C,New Midnight Blue,
25,25,112,54,0.537037037,-43.5,-75.3442101292,-2.617993878,34.918,Dark,cold,Blue,Midnight,191970,MidnightBlue,
47,47,79,57.6666666667,0.1849710983,-16,-27.7128129211,-2.617993878,50.648,Dark,cold,Blue,Midnight,2F2F4F,Midnight Blue,
139,121,94,118,0.2033898305,31.5,23.3826859022,0.9322366307,123.304,Medium,warm,Brown,Navajo White,8B795E,NavajoWhite4,
205,179,139,174.3333333333,0.2026768642,46,34.6410161514,0.9253361394,182.214,Light,warm,Brown,Navajo White,CDB38B,NavajoWhite3,
238,207,161,202,0.202970297,54,39.8371685741,0.9351973927,211.025,Light,warm,Brown,Navajo White,EECFA1,NavajoWhite2,
255,222,173,216.6666666667,0.2015384615,57.5,42.4352447854,0.9350168014,226.281,Light,warm,Brown,Navajo White,FFDEAD,Navajo White,
255,228,181,221.3333333333,0.1822289157,50.5,40.7031939779,0.8924052124,230.715,Light,warm,Brown,Navajo White,FFE4B5,moccasin,
0,0,128,42.6666666667,1,-64,-110.8512516844,-2.617993878,14.592,Dark,cold,Blue,Navy,80,Navy Blue,
35,35,142,70.6666666667,0.5047169811,-53.5,-92.6647182049,-2.617993878,47.198,Dark,cold,Blue,Navy,23238E,Navy Blue,
77,77,255,136.3333333333,0.435207824,-89,-154.1525218736,-2.617993878,97.292,Dark,cold,Blue,Neon,4D4DFF,Neon Blue,
79,79,47,68.3333333333,0.312195122,16,27.7128129211,0.5235987756,75.352,Dark,warm,Green,Olive,4F4F2F,Dark Olive Green,
85,107,47,79.6666666667,0.410041841,8,51.9615242271,0.1527606105,93.582,Dark,warm,Green,Olive,556B2F,DarkOliveGreen,
128,128,0,85.3333333333,1,64,110.8512516844,0.5235987756,113.408,Medium,warm,Green,Olive,808000,olive,
105,139,34,92.6666666667,0.6330935252,18.5,90.9326673974,0.2007080035,116.864,Medium,warm,Green,Olive,698B22,OliveDrab4,
107,142,35,94.6666666667,0.6302816901,18.5,92.6647182049,0.1970536957,119.337,Medium,warm,Green,Olive,6B8E23,OliveDrab,
110,139,61,103.3333333333,0.4096774194,10,67.5499814952,0.1469710903,121.437,Medium,warm,Green,Olive,6E8B3D,DarkOliveGreen4,
162,205,90,152.3333333333,0.409190372,14.5,99.5929214352,0.1445768449,179.033,Light,warm,Green,Olive,A2CD5A,DarkOliveGreen3,
179,238,58,158.3333333333,0.6336842105,31,155.8845726812,0.1963040651,199.839,Light,warm,Green,Olive,B3EE3A,OliveDrab2,
188,238,104,176.6666666667,0.4113207547,17,116.0474041071,0.1454572501,207.774,Light,warm,Green,Olive,BCEE68,DarkOliveGreen2,
